id;usuario_id;empresa_id;calorias;start_time;end_time
4ac068f0-5f1e-40ec-a670-9e401ff05481;radical;Plástico Market Colegio;50022;2023-03-24T02:37:05;2023-03-24T04:53:58
51d94617-5a90-43b2-9ff7-ba91113e1419;seamless;open-source Persistente;17858;2023-03-23T20:38:56;2023-03-24T06:04:20
864905ee-e658-46d7-bb2d-408c2d7c9032;SAS PCI Morado;quantify override base;70463;2023-03-24T11:43:15;2023-03-23T22:35:12
9aa830fa-835c-463b-91d9-98ba394502f6;sexy Asociado Dinar;Moda Sierra;34678;2023-03-24T07:48:20;2023-03-23T21:49:50
f3b941a3-aa71-40e7-ad6c-f4857fd5c356;dinámica;out-of-the-box;18474;2023-03-23T14:59:51;2023-03-24T11:49:08
f938e2c7-5a36-4167-91c7-8d68a65a0d6a;JBOD Joyería Director;Aragón Usabilidad HTTP;75809;2023-03-23T21:49:37;2023-03-23T18:25:32
6907d219-4d76-4c88-9fe5-bf37508f9f39;Pelota de Acero;Salchichas invoice primary;55256;2023-03-24T12:32:05;2023-03-24T08:36:39
89016129-a621-4399-b8c2-8d1682cb92f9;Nicaragua;RAM;78690;2023-03-23T21:52:31;2023-03-23T15:45:29
feb87ed0-0812-4fb0-9258-30dedc70106b;target;Senior Gris quantifying;31054;2023-03-24T07:35:59;2023-03-24T04:51:51
01d97a28-8504-42fd-b963-aa6a9af48292;Cambridgeshire Investment;user-centric Creativo;7670;2023-03-24T11:04:04;2023-03-23T21:42:54
