id;usuario_id;empresa_id;exercise;repetitions;type_resistence;resistence_kg;duration;start_time;end_time
2b9afc64-a153-47b0-8226-7a417655667f;Galicia País infrastructures;transmitter Masía bandwidth;tolerancia transmitting arquitectura;9026;Pequeño Funcionalidad;85609;21071;2023-03-24T12:55:57;2023-03-24T08:43:15
6c056075-adfc-4740-a40e-ced835b6f187;Diseñador Metal;withdrawal La implement;Genérico Asturias terciaria;45172;Pequeño Account up;54054;36572;2023-03-23T18:10:19;2023-03-24T06:19:22
06ee0c3b-bf7b-4403-ba38-b0daf957c865;AI;wireless Estratega;Normas;97551;nacional;98754;4009;2023-03-24T04:19:57;2023-03-24T13:13:29
ef75beff-ef6e-4d45-ac02-b5bb55e29a68;overriding Avenida Música;Ecuador Rambla;Papelería incubate;58877;application Mobilidad parsing;47694;83654;2023-03-24T09:06:47;2023-03-24T12:52:37
6c8752e9-2a89-4964-bd44-f2c1ce68d006;Islands Horizontal Centrado;Tala Interacciones;orquestar;90945;TCP Productor up;46504;21775;2023-03-24T08:46:52;2023-03-23T17:37:38
2c1100ac-6d88-40a4-9e91-9684ab9c65e9;Artesanal Amarillo;Gerente;orientada software Account;85485;Morado e-markets;89831;29350;2023-03-24T01:49:04;2023-03-24T10:09:58
551fd445-9d5f-48bc-9b8a-537131b1350b;Hormigon;Edificio deposit aggregate;Juguetería Atún;72247;Cataluña Blanco;39192;63266;2023-03-23T18:49:54;2023-03-24T10:22:28
d1dd18fd-9273-4470-93cc-fbca7591f607;PCI Azul;Avon bypass;País;72826;Heredado Ferrocarril;22104;5137;2023-03-23T23:11:29;2023-03-24T11:44:10
c18a7ddd-d19b-4347-8f15-77542cf31038;Videojuegos navigate;override SMTP;Pantalones Berkshire Granito;44611;Parafarmacia Som facilitate;90567;83922;2023-03-24T01:56:54;2023-03-24T09:51:14
9ff49bb0-aa5f-4e5b-8ec6-646b0c4b509f;Increible indexing;Futuro precios Blanco;Franc streamline de;62945;Avon Colonia vertical;60734;13565;2023-03-24T01:03:52;2023-03-23T21:32:34
