id;usuario_id;empresa_id;field_activity;field_duration;field_num_segments;start_time;end_time
d32b397a-850f-4c96-9f64-8e3dafd8c395;Perú;interface Algodón;58808;77789;80218;2023-03-23T20:51:42;2023-03-24T06:44:14
98026e55-73de-43b8-aa95-a7ce72a859de;Niger;Gerente methodologies Sorprendente;78285;58370;26809;2023-03-24T07:22:56;2023-03-23T20:21:49
97ede3b9-f87f-439f-9c9c-013abf86768b;vortals;solid Puente;86107;98644;73221;2023-03-24T01:08:54;2023-03-24T05:21:29
198452bf-1811-4367-87ac-535313fc0d2f;input;óptima a Calidad;76417;45117;19530;2023-03-24T13:47:48;2023-03-24T09:35:13
8eec3729-ac8a-4ecf-bf4e-57a530434e09;Salchichas Amarillo;bus paradigms Azul;70478;38729;30977;2023-03-23T17:31:02;2023-03-24T03:30:35
108d3e19-82a0-458f-bcb6-290a7c31a6aa;Amarillo Tobago Pequeño;Seguro;26079;50734;18484;2023-03-24T10:17:55;2023-03-23T22:04:51
1ce271ee-4023-4645-af3b-e6b14c299750;SSL;communities XSS;34209;51562;12358;2023-03-24T12:57:26;2023-03-24T06:20:24
a73af92a-ab25-4a54-af4f-ecc71920f5d4;defectos;Guapo Azul;79564;64098;12276;2023-03-23T15:35:49;2023-03-24T09:54:01
06ad6d5d-cf15-4892-bd71-63f8134563e9;estatica;Azul calculating;88882;98170;92128;2023-03-24T11:52:53;2023-03-24T13:23:57
bae39f47-2fa7-44e4-9aaa-b4119cf77d4c;Funcionalidad;Entrada cross-media Pequeño;11369;33326;81377;2023-03-23T14:49:46;2023-03-24T02:31:50
