id;usuario_id;empresa_id;field_alarm_risk_average;field_alarm_risk_max;field_alarm_risk_min;start_time;end_time
4f87588f-f77b-4558-b0fc-2c7fd2b6b2e1;Papelería;payment;17868;23559;22220;2023-04-09T21:56:18;2023-04-09T20:26:04
9ef22183-2b67-419f-a600-fdeb66442aaa;Práctico;open-source wireless;53448;8811;48696;2023-04-10T10:02:53;2023-04-09T23:28:27
dbb7a8a7-78b6-4f1b-824f-2909c78f145c;port Inteligente Gorro;e-business Refinado;36843;21689;39577;2023-04-10T07:55:35;2023-04-09T18:58:38
0ac5ff88-a182-4e42-b1f1-9cfa13a28e76;Artesanal Técnico unleash;Pizza web;49705;63287;15506;2023-04-10T07:23:34;2023-04-10T05:29:19
b07ba5f4-4462-4acc-8292-a2314e9cd452;Papelería;Amarillo Obligatorio;66273;66962;3089;2023-04-09T23:50:36;2023-04-09T17:24:05
61a481aa-d562-4e55-86f7-f42472ff2809;India;Groenlandia;76870;61213;19506;2023-04-09T21:22:39;2023-04-10T07:48:36
168f1c8b-2ed0-4cc4-9650-1e6c9730fb5a;Nauru reinvent Parafarmacia;Programa eyeballs;2319;14130;42372;2023-04-10T05:57:34;2023-04-09T14:06:10
9644a14e-56cd-470d-b6df-ff721787a37a;dot-com withdrawal Borders;Buckinghamshire RAM open-source;90363;42053;3598;2023-04-09T22:32:02;2023-04-10T00:58:02
c8aac725-79b2-44f4-9ea1-9b120bb2eadd;Algodón Finlandia política;Bedfordshire Negro Administrador;39383;11683;38956;2023-04-09T20:27:16;2023-04-09T15:04:58
ccfd231f-0648-4eaf-9f09-465e87a15e87;Pa'anga;del deposit;18804;8956;52060;2023-04-09T16:22:42;2023-04-10T07:25:54
