id;usuario_id;empresa_id;calorias;start_time;end_time
c496b931-6308-4285-a5d1-43d192fb2250;política;Andalucía Guapa;10537;2023-03-24T01:44:18;2023-03-24T05:31:14
a3ff60c7-8af7-471e-b711-f18dfc967dcf;Juguetería;Card Operaciones hard;2055;2023-03-24T04:42:44;2023-03-24T10:40:56
150550b9-9f12-4b1a-aed7-02c2f9f0bef3;Guayana Teclado;Syrian Borders;50621;2023-03-23T22:48:49;2023-03-23T22:17:18
a474e67e-320a-4365-9b9e-72bae0ddff89;Hormigon Terrenos Gerente;protocolo Centrado PNG;26482;2023-03-24T12:09:46;2023-03-24T03:59:47
e86db969-3825-43fd-bbcf-f2bf2c9ba3d7;compress;Algodón recontextualize;85002;2023-03-24T05:44:53;2023-03-23T19:01:56
a2b7cce3-2f87-4eec-8cab-4aef260ed686;Dinar e-enable;colaboración;73127;2023-03-24T05:27:34;2023-03-23T15:21:29
441fcf33-9b87-4af1-8dd3-756c0b672edf;invoice;Salchichas;23102;2023-03-23T15:39:19;2023-03-24T11:17:27
26838b13-c8e1-45c1-87e5-ac370927a59e;Entrada;17(E.U.A.-17);8900;2023-03-23T19:13:55;2023-03-23T14:16:23
3d52507f-997e-4135-bcb1-83f8d717acd7;Gris connecting;clicks-and-mortar Colegio Mali;3023;2023-03-23T19:06:32;2023-03-24T08:22:32
1fad969c-6025-4c92-8802-fb06653ccd9f;Datos coherente Pa'anga;Cliente;52238;2023-03-23T22:43:55;2023-03-24T10:36:03
