id;usuario_id;empresa_id;rpm;start_time;end_time
01fb2b13-69a4-49ec-b8c4-c9a52bec42ae;Estonia;Granito Integración B2C;12332;2023-03-24T03:15:35;2023-03-23T16:58:54
d34d9f67-f76b-4d3a-8baa-ca617906531d;Ordenador;networks Fantástico Realineado;39412;2023-03-23T18:43:23;2023-03-23T22:02:46
91d0410e-caa2-4682-aa99-cdbf0455389a;ADP Marroquinería Plástico;Hogar Bedfordshire;28006;2023-03-23T22:48:58;2023-03-24T03:26:04
7cba9de9-0997-4c44-8447-c8635fcf5868;bypass Ordenador AI;USB Nacional;55067;2023-03-23T18:55:36;2023-03-24T02:27:46
2154ab9d-cc61-48bc-bce7-fce94dc91338;Arquitecto synthesize;Azul paradigms;26522;2023-03-24T09:32:38;2023-03-23T20:54:00
35a0ad9c-ca36-4445-8a1f-2e636847e27d;auxiliary parsing;XSS partnerships;42271;2023-03-24T10:59:53;2023-03-23T17:22:17
6f5e71d9-f36f-43ef-b2e8-34b256141af8;Taka cutting-edge;experiences;87733;2023-03-23T18:12:51;2023-03-23T18:07:44
8c555e6c-6c28-43c6-a83b-2dbcf93b1c1a;Vanuatu middleware;Salud Genérico Inteligente;28550;2023-03-23T22:04:06;2023-03-24T07:52:58
2910d510-1c33-4362-8a50-c6493221056c;XSS Avon Atún;International SDR Aplicaciones;62398;2023-03-23T14:16:03;2023-03-23T17:48:01
2e04e083-bc21-4f49-bdb1-1cbae2f2cc8d;Blanco;Joyería deploy Arquitecto;60391;2023-03-24T09:26:05;2023-03-23T14:53:50
