id;usuario_id;empresa_id;revolutions;start_time;end_time
f98c512e-9286-453c-8722-8fe2fb53597b;Morado;Consultor synthesizing;5294;2023-03-24T10:01:48;2023-03-24T10:41:27
605ce7f0-2653-4ab7-aa2d-896241906abf;Investment;Ergonómico;15262;2023-03-23T15:19:15;2023-03-23T15:13:56
5747bcc2-afd3-48b6-bd5e-775e1a46c0c7;FTP Algodón;Joyería empower;12421;2023-03-24T00:36:12;2023-03-24T10:07:58
ac5b63ce-d273-47b4-8512-635666cdc4bc;Account haptic;THX Ecuador copying;66384;2023-03-24T13:53:15;2023-03-24T04:27:47
90107f48-27d4-4952-a92c-24b397efb5fb;Loan Sopa Multi;Soluciones online transmitting;1720;2023-03-24T02:06:15;2023-03-24T06:03:01
2efcc956-b06c-4897-accc-075fba9ec65c;Ingeniero Mejorado;Metal;45303;2023-03-24T05:00:10;2023-03-23T18:37:18
6224a1d2-a0c7-4cda-89bb-59d3716b97dc;Verde Humano Hormigon;Ejecutivo Salida;56736;2023-03-24T14:00:22;2023-03-24T00:23:36
d365259e-e923-4895-a20a-78ce3ea024e5;Videojuegos UIC-Franc dynamic;connecting Pollo Librería;20654;2023-03-24T05:28:03;2023-03-24T03:25:13
b2493f04-7c56-4568-97f3-5d8f833dfdb0;Algodón División;División Global;56209;2023-03-23T17:32:21;2023-03-24T12:57:26
b7d1eb94-f341-4d3e-b9c9-88cac9a3297b;Escudo;services;25276;2023-03-23T23:08:56;2023-03-24T06:35:31
