id;usuario_id;empresa_id;field_funtional_index_average;field_funtional_index_max;field_funtional_index_min;start_time;end_time
bff37d6f-1192-4b59-8acf-6da3c69d3c4c;País Silla Avon;ADP;97703;70254;48589;2023-04-10T10:03:23;2023-04-09T18:24:51
52f7d831-db44-4fd4-a0da-2639b2881135;Configurable Madera;capacidad Morado;64684;50243;53253;2023-04-09T21:44:36;2023-04-09T20:43:42
d80fcfe2-2790-488c-87ac-ee4a788d6266;channels;of;94741;56829;20677;2023-04-10T10:53:31;2023-04-10T12:30:50
74501d94-3441-43c7-8a65-a802518f9cf8;efficient;Litas hard Balboa;15456;73618;73796;2023-04-09T21:15:09;2023-04-10T10:17:37
19f3a816-a4b1-4d03-9fc5-97c4a8236766;synergize;transmit;29004;7579;23338;2023-04-10T11:39:11;2023-04-10T11:49:10
be9f2e59-e26e-4dba-b365-c36c81315d6f;Senegal bypass;Comunidad Métricas;61255;35231;10455;2023-04-09T17:08:44;2023-04-09T18:58:03
0ac3de3f-6dbc-42fd-8ef1-31b80232a9ec;Amarillo Prolongación;FTP orchestrate calculate;19988;29612;83997;2023-04-09T19:17:15;2023-04-10T02:55:13
f205e46a-03d8-43a2-9eca-53a679be1076;Conjunto superestructura Cine;clicks-and-mortar;88998;19803;46693;2023-04-09T17:22:13;2023-04-10T03:44:28
bdc4cd42-e96a-4f33-899f-167e9ccf91fe;vortals Entrada compelling;wireless initiatives invoice;56875;2606;76019;2023-04-10T06:02:11;2023-04-10T02:02:58
b51fe1aa-5c0c-4f7a-9158-53e2e079ff34;Parafarmacia quantify;incubate Normas metrics;40788;32745;53630;2023-04-09T19:55:33;2023-04-09T23:55:13
