id;usuario_id;empresa_id;severity;start_time;end_time
69ff530b-4e8d-4ec4-bf0b-f6819a04fefd;Toallas Rojo Reducido;Canarias;28935;2023-03-23T19:48:35;2023-03-24T05:16:05
61fd0404-830d-4dbd-8f9b-8df317165506;Plástico Electrónica;Parafarmacia Huerta;32056;2023-03-23T17:44:52;2023-03-24T12:59:18
3f55795e-2784-4997-b11c-fd8752396ba3;synergize Técnico;parse Avenida Supervisor;85839;2023-03-24T02:01:46;2023-03-24T01:42:16
60b5083f-9941-4e7b-a283-8ac384560618;de extensible Guantes;Queso Re-contextualizado Consultor;51649;2023-03-23T14:23:32;2023-03-24T13:33:58
68648436-e480-4f28-a5a6-43d236d992cd;engage compress;International Gris línea;75019;2023-03-23T19:01:06;2023-03-24T00:56:22
38e674b0-a67c-4a59-9b30-96bf78bbbf51;Diverso Zapatos;strategize;35017;2023-03-23T22:53:16;2023-03-23T15:11:46
f972a354-4a60-4f67-9f77-399ca0fd8b5a;Guapa Acero;Cara application Amigable;87775;2023-03-24T12:49:28;2023-03-24T02:54:28
25c27797-1315-4c48-82b1-f55bd74d0009;deliverables proactive Pequeño;empower withdrawal Música;61695;2023-03-24T00:29:04;2023-03-24T02:24:17
d214d5b0-4bd7-4a57-a54d-79fcf4048f08;sensor Administrador;repurpose;80371;2023-03-24T13:36:41;2023-03-23T18:39:59
13cfc3b5-d074-4681-84cd-72e6053a1775;Tácticas;Programable;91759;2023-03-24T13:21:34;2023-03-24T08:41:32
