id;usuario_id;empresa_id;ppm;end_time
4c64823a-6d0d-4c66-9071-396dc2306e7f;programming Artesanal parsing;generate;13866;2023-03-23T14:39:11
0deb8bb4-3c80-48a5-b9da-16bff8c8b226;Bedfordshire Madagascar Borders;Canarias;53149;2023-03-24T08:46:01
5b7f6f27-d989-4205-a698-336f55a042ff;Buckinghamshire codificar AI;Factores SSL Calidad;60157;2023-03-23T17:03:13
dd9f98bd-4176-4364-a382-3100d180d06a;Pizza compressing;Distribuido;65204;2023-03-23T17:35:00
983786d1-7650-4654-a451-1c68d7e8b6ae;Mesa Vietnam Bermuda;Increible JSON Bedfordshire;55775;2023-03-24T07:37:46
0c2e4494-06c5-40cc-9aa0-9c1d2054e8a0;target B2C Solar;Cuentas payment;8958;2023-03-23T15:46:27
c896055c-1d42-4abf-9760-5ca01971cfc4;Ouguiya;Zapatos Dinamarca Irlanda;25042;2023-03-24T10:02:57
f14ee848-c63a-4d85-bf13-c5276efbaa44;matrix SDD data-warehouse;Gerente Configurable;82655;2023-03-23T18:54:38
4198edb6-62db-4d57-81a5-c1492f9ed058;Configuración Conjunto;system Vasco markets;78077;2023-03-24T06:37:31
f528a6ea-b057-46b9-af83-e42ba632205b;superestructura;discreta payment SMS;86799;2023-03-24T11:53:12
