id;usuario_id;empresa_id;latitud_min;longitud_min;latitud_max;longitud_max;accuracy;altitud;start_time;end_time
9ca7f1e1-0c87-4d8e-b55a-d79238f9eb83;Cambridgeshire;Electrónica Berkshire;42705;22439;97789;42616;9169;77666;2023-03-24T08:29:31;2023-03-24T11:10:40
b027b35c-26f7-47bd-ab9f-cf2793b2e7f8;Pizza synthesizing;Murcia Camboya withdrawal;30877;16792;86678;98761;10425;31716;2023-03-23T16:18:36;2023-03-23T16:20:59
7d729138-e5f0-489a-b355-05fb6e109993;Genérico initiatives disintermediate;Árabes Verde Actualizable;32539;79537;57201;71270;12314;33521;2023-03-23T19:37:26;2023-03-23T14:33:34
747dd1b0-cb07-4327-99f1-fb3718c889f9;cross-platform Ensalada;Representante Humano Corporativo;62782;6483;51405;47274;43897;73113;2023-03-24T00:33:36;2023-03-24T11:29:41
3127991e-67e6-4a7e-acac-08ef190570e9;mission-critical;Vanuatu revolutionize Honduras;93299;49769;78926;87447;84114;66553;2023-03-23T20:16:24;2023-03-24T02:44:27
5f5d61ac-a157-43df-b702-e18513ef3c7f;SDD;Desarrollador;84660;19763;74497;27709;91729;44074;2023-03-23T23:34:24;2023-03-24T00:16:06
44244773-89a5-4f37-bc00-49c520f782b4;Baleares envisioneer;Honduras;58766;59201;86380;33377;63254;22672;2023-03-24T05:17:34;2023-03-24T10:26:04
eb1fb45a-97cf-4cd8-99ca-4287468548d8;Electrónica;Pasaje capacitor;23190;12796;67914;78998;99476;31250;2023-03-23T17:39:20;2023-03-23T22:26:40
c1e5b32f-175b-4b8d-bd58-285269d8f553;platforms Carretera;global;37161;93448;10988;25741;83849;56274;2023-03-23T15:10:59;2023-03-23T23:47:32
5403606c-3ea8-426c-b6d1-040d2b8ca817;Saint Sorprendente;system Interno Refinado;99804;177;67667;52212;67362;15467;2023-03-24T09:18:35;2023-03-23T19:47:27
