id;usuario_id;empresa_id;meal_type;food;nutrients;end_time
93b5cd17-4615-4399-9ecb-cebc4295c98b;Adelante Inversor withdrawal;Facilitador;68163;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T07:46:44
e3098c3b-cb5f-438c-a578-0a71336f8139;trabajo engage Fantástico;redundant;20985;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T01:14:20
eb957e0f-b893-4a33-b81d-626b885e402f;paradigma;Account back-end Calleja;62543;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T11:56:35
19c85c6f-c6cd-493a-b1c0-bf7d286c4456;Increible Guadalupe deposit;FTP la transmitting;94748;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T03:31:55
18f46a3b-8f39-4016-b377-217299d09cb2;reinvent;Raton;1730;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T11:12:53
51ad9705-0d44-4d1b-a699-3cdf1ba6f8f6;global;Mercado facilitate;25289;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-23T16:30:12
5bedb554-f8ba-487e-984b-85f3a67db7cf;Bedfordshire Electrónica compressing;Avon global Taiwan;86716;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T07:47:12
70e7abbf-5bb7-4dbf-a888-1b1c99e001c0;vertical experiences alarm;Pantalones Facilitador;52886;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-23T23:17:47
0095c0f7-b086-4082-bc15-10e8cab61e13;deposit;Consultor intangible Electrónica;64750;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-24T13:21:58
6eefa5a3-ff52-4a48-9703-b70e55fea1be;parsing Genérico XSS;Auto Rústico Salida;4593;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2023-03-23T19:44:37
