id;usuario_id;empresa_id;sleep_quality_rating_score;sleep_efficiency_score;sleep_gooal_seconds_score;sleep_continuity_score;sleep_continuity_rating
7b6e1b56-e4ed-4d21-94d4-0aba30a4f024;Bélgica Avon;Cliente Cambridgeshire SAS;23037;63798;50393;46497;66999
36f11efd-d212-447c-81d7-2afddc3aeb76;Finlandia;Lilangeni modular Solar;80991;34647;75185;14164;8005
629dbf54-2279-40d0-b691-fa23b16cea7d;algoritmo;deposit;86283;15252;5838;23851;4918
258dd1e6-ba0e-42fe-96f6-cfaedf9298f2;multi-byte amplio;pixel instalación;31978;16830;35362;61845;84235
60b58079-c3c7-44f6-9cb0-11009d72d3be;Especialista;blockchains invoice Extramuros;28604;40057;43708;26293;79442
91fb18b5-a379-4d8e-9e87-83f0c8cfd6e8;overriding;bypassing;22712;95027;37286;36028;25240
a3834427-0924-4a81-b7e2-146393403dbd;Visionario invoice incremental;Verde;69433;74662;39773;88388;92926
5b77571e-6078-43fb-906f-99eb313b5ca2;synergize misión;Mónaco applications;16096;93314;71422;81041;15628
a1029bc9-344a-4a8b-9daf-885073aa8907;canal Avon Extendido;Blanco bluetooth Central;72541;93641;18333;51508;25423
96dbd235-aae8-4510-8a1f-8a7ab44d8527;Gerente Andalucía Lado;Investment Cambridgeshire;80528;58501;38339;10730;24996
