id;usuario_id;empresa_id;rpm;start_time;end_time
71bf6f72-5a6c-41ce-8fdc-109ff3eff577;reboot;payment matrix port;45407;2023-03-24T02:08:37;2023-03-23T20:28:20
e2a44aea-a325-45f3-8c20-26dc4b7bd4ae;PNG;Fantástico;22305;2023-03-24T02:33:14;2023-03-24T08:40:08
94fdb9d6-0be3-4831-878a-26f3ea33ddd6;strategize asíncrona Buckinghamshire;program mindshare mobile;70730;2023-03-24T07:01:04;2023-03-23T18:08:16
5929094e-fc80-4bae-8b6a-b6185764f969;Canarias bypass Normas;Account Pollo;87022;2023-03-24T05:20:25;2023-03-23T14:25:45
404f52bc-4524-4534-8b42-948f1f7a890b;PNG invoice bandwidth;holistic Ensalada Mancha;23166;2023-03-23T19:51:56;2023-03-24T00:17:16
151312c5-dc1f-4d82-9e69-a4ec1e05c317;redundant;medición optical Intuitivo;98608;2023-03-23T18:42:31;2023-03-24T03:27:28
dc918ccb-c8a7-4465-94c5-d769aa4f29dc;terciaria;Jefe;3639;2023-03-23T23:51:58;2023-03-23T16:28:21
08061c72-f035-4a43-867a-f59b723c9121;Práctico Bedfordshire;SAS Reactivo;88228;2023-03-24T02:01:26;2023-03-24T00:13:47
40fd9a69-a1ec-40dd-b554-9e137bc72c22;Regional Regional;payment y Ergonómico;4545;2023-03-24T08:34:06;2023-03-24T12:14:03
72919745-dc6b-4d8a-9794-8c8f570081fd;Comunidad systems invoice;Auto Marketing;32;2023-03-23T20:07:03;2023-03-24T07:21:51
