id;usuario_id;empresa_id;steps;start_time;end_time
c52020eb-efd6-411f-a28e-0a2f65bee445;Amarillo;program;63883;2023-03-23T20:01:47;2023-03-23T15:55:05
189bef05-71a8-43c9-879d-c114750fe046;Dinar;Berkshire;11300;2023-03-24T11:14:38;2023-03-23T18:12:55
3f6c36e7-6a00-4742-a17f-463993ba7375;transmit Credit systems;Metal value-added;50789;2023-03-24T07:34:24;2023-03-23T18:19:23
450ed585-ee13-4e60-8b35-502aac01d937;Galicia Especialista;Dinar;92070;2023-03-24T05:48:19;2023-03-24T09:28:36
9c1e3487-af29-409c-9859-a005d8bb6684;Producto Contabilidad Sabroso;portal Ronda;27655;2023-03-24T04:48:37;2023-03-24T07:00:06
3b08f659-0e61-4015-a815-e0f06d62bfdc;León;Escalinata visionary Representante;68006;2023-03-23T17:59:37;2023-03-24T05:23:44
291272d6-c1d2-46f4-9fde-e36906b8419e;Joyería Profundo algoritmo;Gorro;70218;2023-03-24T13:18:05;2023-03-24T07:55:21
58eeb07e-ff70-4214-94f8-5ce2ec41185b;Ejecutivo la Cambridgeshire;línea up orchestrate;57447;2023-03-23T15:26:14;2023-03-24T03:48:57
92ba9807-854d-496b-a1ae-97618f21bbad;Mancha mobile evolve;Berkshire next-generation;13689;2023-03-24T01:19:18;2023-03-24T06:52:31
f6524402-5124-4c41-ad9b-4825223d8f1f;Bedfordshire Guapa;Sopa;56147;2023-03-24T12:22:21;2023-03-24T01:37:13
