id;usuario_id;empresa_id;field_average;field_max;field_min;measurement_location;start_time;end_time
12a83bc7-93d4-4953-a32c-6b0168a7ec7a;cross-media;optical Savings Extendido;55071;80151;58588;51666;2023-03-24T07:29:39;2023-03-23T21:47:45
4a77b29b-9888-4f77-9caf-c74dd3a8aad8;Pollo redundant input;Hormigon Andalucía;41530;60858;578;99854;2023-03-24T03:17:18;2023-03-24T10:28:02
16b75fda-6d5e-4b09-8e72-27cda221b25c;Ordenador Camerún;Account Malaysian Mesa;27940;63400;86420;4021;2023-03-24T03:21:15;2023-03-24T01:25:06
d465711f-dedd-4502-b11c-2c395fac6e1f;US Configuración Money;Acero HDD;8462;33101;83299;57895;2023-03-24T06:23:19;2023-03-24T10:43:42
83e4b6d6-17e8-4326-b2d3-f84da9bb4105;Soluciones;Artesanal;77744;7310;88165;31861;2023-03-24T04:24:19;2023-03-24T09:56:43
c3510ccf-b35e-4f8f-ae0e-a163afb12f3e;alarm;Asimilado users Martinica;40583;82178;48729;38668;2023-03-23T15:50:33;2023-03-24T13:40:02
0d22902a-98a4-4e91-8400-edffc51328ee;cultivate sistémica;Teclado;51039;49073;35459;65164;2023-03-24T12:45:47;2023-03-23T15:46:26
061c6359-42b5-494b-9c5c-eb58bbd6114c;Investigación cultivate bandwidth;Escalinata Plástico;83126;98200;47385;6112;2023-03-23T16:14:03;2023-03-23T16:36:30
8a7e5866-951b-4a0b-a9c7-45e67fa44ec4;Municipio;Creativo Investment;51409;65846;42052;2099;2023-03-23T17:06:30;2023-03-23T14:20:31
23cbd10d-f355-43d8-a1bd-c2929118f317;Home bypassing Administrador;mobile payment;61081;3777;4684;25111;2023-03-24T11:39:11;2023-03-24T01:36:41
